,0
0,"Lycopene has a wide range of biological functions, especially its antioxidant capacity. However, effects of lycopene on muscle fatigue resistant and muscle fiber type conversion are unknown. In this study, we found that lycopene significantly prolonged the swimming time to exhaustion in mice. We also showed that lycopene increased the proportion of slow-twitch muscle fiber by promoting muscle fiber type conversion from fast-twitch to slow-twitch in mice and in C2C12 myotubes. The AMP-activated protein kinase (AMPK) signaling was activated by lycopene. AMPK upstream and downstream regulators including nuclear respiratory factor 1, calcium calmodulin-dependent protein kinase kinase-β, sirtuin 1 and peroxisome proliferator activated receptor-γ coactivator-1ɑ were also increased by lycopene. AMPK inhibitor compound C markedly attenuated the lycopene-induced skeletal muscle fiber type conversion in C2C12 myotubes. Taken together, we provided the first evidence that lycopene increases the proportion of slow-twitch muscle fiber through AMPK signaling pathway to improve fatigue resistant of skeletal muscle."
0,"Increasing studies report that many natural products can participate in formation of muscle fibers. This study aimed to investigate the effect of lycopene on skeletal muscle-fiber type in vivo and in vitro. C2C12 myoblasts were used in vitro study, and the concentration of lycopene was 10 µM. In vivo, 8-week-old male C57/BL6 mice were used and divided into four groups (n=8): (1) ND: normal-fat diet; (2) ND+Lyc: normal-fat diet mixed with 0.33% w/w lycopene; (3) HFD: high-fat diet; and (4) HFD+Lyc: high-fat diet mixed with 0.33% w/w lycopene. The mice tissue samples were collected after 8 weeks feeding. We found that lycopene supplementation enhanced the protein expression of slow-twitch fiber, succinate dehydrogenase, and malic dehydrogenase enzyme activities, whereas lycopene reduced the protein expression of fast-twitch fibers, lactate dehydrogenase, pyruvate kinase enzyme activities. Moreover, lycopene can promote skeletal muscle triglyceride deposition, enhanced the mRNA expression of genes related to lipid synthesis, reduced the mRNA expression of genes related to lipolysis. And high-fat diet-induced dyslipidemia and oxidative stress were attenuated after lycopene supplementation. Additionally, lycopene supplementation reduced the glycolytic reserve but enhanced mitochondrial ATP production in C2C12 cells. These results demonstrated that lycopene affects the activities of metabolic enzymes in muscle fibers, promotes the expression of slow-twitch fibers, and enhanced mitochondrial respiratory capacity. We speculated that lycopene affects the muscle-fiber type through aerobic oxidation, suggesting that lycopene exerts potential beneficial effects on skeletal muscle metabolism."
0,"Acute ischemia/reperfusion (I/R) injury of skeletal muscle, an important mortality and morbidity cause, is associated with oxidative stress. Lycopene is a carotenoid pigment with potent antioxidant activity and is found in vegetables and fruits. This study aims to investigate the protective effects of lycopene against I/R injury in rat hind limb muscle model."
1,"Thirty-two Wistar-albino rats were randomly allocated to control, lycopene, I/R and I/R+lycopene groups. In lycopene and I/R+lycopene groups, the rats received 10 mg/kg/day lycopene orally for 15 days before the experiment. Dissection around abdominal aorta at the infrarenal level was performed in all rats under general anesthesia. The aorta was clamped at the infrarenal level in the I/R and I/R+lycopene groups for two hours. Then, reperfusion was allowed for two hours in these groups. Samples were obtained from the hind limb muscles of rats after sacrifice for biochemical and histopathological analyses."
2,Serum and tissue malondialdehyde and ischemia-modified albumin levels were significantly lower in the I/R+lycopene group compared to I/R group (p<0.001). Serum glutathione peroxidase (GSH-Px) levels were significantly lower in the I/R group compared to those in control and I/R+lycopene groups (p<0.05). Tissue GSH-Px levels were significantly lower in the I/R group compared to the Lycopene group (p=0.003). Serum superoxide dismutase (SOD) levels were significantly lower in the I/R group compared to three groups (p<0.001). Tissue SOD levels were significantly lower in the I/R group compared to those in control and Lycopene groups (p=0.005). Histopathological assessments revealed that inflammatory changes following I/R injury were significantly reduced in the I/R+lycopene group.
3,The findings obtained in this study show lycopene's cytoprotective activity against I/R injury in rat skeletal muscle model.
0,"Lycopene rich food and dark chocolate are among the best-documented products with a broad health benefit. This study explored the systemic effect of lycopene and dark chocolate (DC) on gut microbiota, blood, liver metabolism, skeletal muscle tissue oxygenation and skin. 30 volunteers were recruited for this trial, 15 women and 15 men with a mean age of 55 ± 5.7 years and with moderate obesity, 30 < BMI < 35 kg/m<sup>2</sup>. They were randomized and divided into five equal interventional groups: three received different formulations of lycopene, one of them with a 7 mg daily dose and two with 30 mg; another group was given 10 g of DC with 7 mg lycopene embedded into its matrix, and the last group received 10 g DC. The trial was double-blinded for the three lycopene groups and separately for the 2 DC groups; the trial lasted for 1 month. By the end of the trial there were dose-dependent changes in the gut microbiota profile in all three lycopene groups with an increase of relative abundance of, e.g., <i>Bifidobacterium adolescentis</i> and <i>Bifidobacterium longum</i>. This was also accompanied by dose-dependent changes in the blood, liver metabolism, skeletal muscle and skin parameters. Consumption of DC resulted in increased relative abundance of, e.g., <i>Lactobacillus</i> and a reduction of corneocyte exfoliation. This is the first study which reports the prebiotic potential of lycopene and DC."
0,"This study investigated the impact of supplementing normal and high-fat diets with graded levels of lycopene on the growth performance, cholesterol level of the muscle, and antioxidant markers in Japanese quail. A total of 192, 14 day-old unsexed Japanese quail were part of a 2 x 4 factorial arrangement consisting of a control group; birds that were fed a normal fat diet (NFD), another control group; birds that were fed a high-fat diet (HFD) with four levels of lycopene for NFD and HFD (0, 100, 200 and 300mg lycopene/kg diet). Lycopene level of 300mg/kg gave the greatest body weight, body weight gain, and relative growth rate when added to the NFD, but this level showed non-significant improvement in growth performance when supplemented to an HFD. Superoxide dismutase in the muscle and liver was noted to be high in NFD+ 300mgL, HFD+ 200mgL, and HFD+ 300mgL groups, while malondialdehyde level in the muscle and liver and cholesterol level in the muscle was found to be low in the same groups. Lycopene slightly improved growth performance, but significantly improved the antioxidant status and lowered cholesterol concentration in the muscle. A diet supplemented with 300 mg lycopene/kg could be recommended for Japanese quail."
0,"The aim of this study was to determine the effect of lycopene addition for curing turkey meat on the profile of fatty acids, total cholesterol, vitamin content, and the TBARS of the final products. The analyzed material comprised 64 breast muscles, of which 16 (RBM) were immediately transported to a laboratory. Another 16 (UBM) were heat treated in a convection steam oven, and 32 muscles were cured for 3 days in two types of curing mixture: without (CBM) and with (CBM+Lyc) tomato peel extract standardized for 5% lycopene content. After completed curing, samples were steamed and grilled under the same conditions as raw samples. Statistical analysis demonstrated the highest (P≤0.01) mean content of vitamin A (0.07 μg/g) in chilled muscles. The content of vitamin E was lower (P≤0.01) in UBM samples than in CBM+Lyc and RBM. The TBARS value was the lowest (P≤0.01) in RBM muscles (0.35 mg MDA/kg of meat). Although there were no differences between products, but lower TBARS were found in CBM+Lyc samples. The content of cholesterol was higher (P≤0.01) in CBM+Lyc products than in the RBM and UBM. RBM samples contained (P≤0.01) the lowest amount of saturated, monounsaturated, and hypercholesterolemic fatty acids, and the highest of unsaturated, polyunsaturated, and hypocholesterolemic fatty acids. CBM+Lyc samples contained (P≤0.01) less hypercholesterolemic and more hypocholesterolemic fatty acids than CBM group. Higher (P≤0.01) unsaturated/saturated and hypocholesterolemic/hypercholesterolemic fatty acid ratios were also found in CBM+Lyc products. The study demonstrated that the used processing technology caused reduction (P≤0.01) of n-3 and n-6 PUFA content. Findings suggest that the addition of lycopene in the process of meat curing and heat treatment in meat industry do not change the content of vitamins and cholesterol or alter the TBARS value in turkey meat products. Nevertheless, lycopene can be used to increase the content of essential hypocholesterolemic fatty acids and decrease the content of saturated hypercholesterolemic fatty acids."
0,"The aim of this study was to evaluate the effect of dietary lycopene powder on meat quality and the oxidative stability of lipid and protein of longissimus thoracis (LT) in lamb. A total of 30 male lambs were randomly sampled from three feeding groups (control without lycopene supplement, 200 and 400 mg kg<sup>-1</sup> lycopene powder respectively) after 3 months of feeding. The muscle samples were taken after slaughter and stored at 4 °C for 7 days."
